prodcode,prodname,drugsubstance,bnfcode,strength
13369,DROLEPTAN sugar free liquid 1mg/ml [JANSSEN],droperidol,04020100/15010401,1mg/ml
13483,SERENACE tablets 20mg [IVAX],haloperidol,04020100/04060000/04090300,20mg
13484,SERENACE tablets 10mg [IVAX],haloperidol,04020100/04060000/04090300,10mg
13577,zidovudine capsules 250mg ,zidovudine,5030101,250mg
13600,zuclopenthixol dihydrochloride tablets 25mg ,zuclopenthixol dihydrochloride,4020100,25mg
13607,PROZIERE tablets 5mg [ASHBOURNE],prochlorperazine maleate,04020100/04060000,5mg
13820,ZYPREXA tablets 10mg [LILLY],olanzapine,4020100,10mg
13888,ZYPREXA VELOTAB orodispersible tablet 10mg [LILLY],olanzapine,4020100,10mg
13902,NEULACTIL FORTE syrup 10mg/5ml [SANOFI/AVE],pericyazine,4020100,10mg/5ml
14025,testosterone esters oily injection 250mg/ml ,testosterone propionate/testosterone undecanoate/testosterone isocaproate/testosterone phenylpropionate,6040200,250mg/ml
14112,CLOZARIL tablets 100mg [NOVARTIS],clozapine,4020100,100mg
14130,DEPIXOL LOW VOLUME oily injection 200mg/1ml [LUNDBECK],flupentixol decanoate,4020200,200mg/1ml
14344,aripiprazole tablets 5mg ,aripiprazole,4020100,5mg
14356,STEMETIL injection 12.5mg/1ml [SANOFI/AVE],prochlorperazine mesilate,04020100/04060000,12.5mg/1ml
14364,prochlorperazine mesilate injection 12.5mg/1ml ,prochlorperazine mesilate,04020100/04060000,12.5mg/1ml
14367,IPRAL PAEDIATRIC suspension 50mg/5ml [SQUIBB],trimethoprim,5010800,50mg/5ml
14576,zuclopenthixol acetate oily injection 50mg/ml ,zuclopenthixol acetate,04020100/04020200,50mg/ml
14610,promazine sugar free syrup 50mg/5ml ,promazine hydrochloride,4020100,50mg/5ml
14717,ZYPREXA VELOTAB orodispersible tablet 5mg [LILLY],olanzapine,4020100,5mg
14767,RISPERDAL CONSTA powder for suspension for injection 50mg [JANSSEN],risperidone,04020100/04020200,50mg
14789,RISPERDAL CONSTA powder for suspension for injection 37.5mg [JANSSEN],risperidone,04020100/04020200,37.5mg
14813,SEROQUEL tablets 150mg [ASTRAZENEC],quetiapine fumarate,4020100,150mg
14839,flupentixol decanoate oily injection 200mg/1ml ,flupentixol decanoate,4020200,200mg/1ml
14858,ABILIFY tablets 15mg [BMS],aripiprazole,4020100,15mg
14859,SEROQUEL tablets 25mg [ASTRAZENEC],quetiapine fumarate,4020100,25mg
14889,DEPIXOL -CONC oily injection 100mg/1ml [LUNDBECK],flupentixol decanoate,4020200,100mg/1ml
14966,flupentixol decanoate oily injection 20mg/1ml ,flupentixol decanoate,4020200,20mg/1ml
14987,perphenazine sugar free syrup 2mg/5ml ,perphenazine,04020100/04060000,2mg/5ml
14998,IPRAL tablets 200mg [SQUIBB],trimethoprim,5010800,200mg
15047,ORAP tablets 4mg [JANSSEN],pimozide,4020100,4mg
15081,IPRAL tablets 100mg [SQUIBB],trimethoprim,5010800,100mg
15128,droperidol liquid 1mg/ml ,droperidol,04020100/15010401,1mg/ml
15157,MELLERIL suspension 100mg/5ml [NOV/SANDOZ],thioridazine hydrochloride,4020100,100mg/5ml
15161,promazine injection 50mg/ml ,promazine hydrochloride,4020100,50mg/ml
15171,DROLEPTAN tablets 10mg [JANSSEN],droperidol,04020100/15010401,10mg
15395,promazine syrup 12.5mg/5ml ,promazine hydrochloride,4020100,12.5mg/5ml
15418,LARGACTIL FORTE sugar-free suspension 100mg/5ml [HAWGREEN],chlorpromazine hydrochloride,04020100/04060000,100mg/5ml
15438,prochlorperazine maleate modified release capsules 15mg ,prochlorperazine maleate,04020100/04060000,15mg
15472,pericyazine tablets 25mg ,pericyazine,4020100,25mg
15598,thioridazine sugar free syrup 100mg/5ml ,thioridazine hydrochloride,4020100,100mg/5ml
15780,ribavirin capsules 200mg ,ribavirin,5030300,200mg
15814,haloperidol decanoate oily injection 100mg/1ml ,haloperidol decanoate,04020100/04020200,100mg/1ml
15843,TRIZIVIR tablets [GLAXO],zidovudine/lamivudine/abacavir sulfate,5030101,
15988,trimethoprim with sulfamethoxazole tablets 80mg+400mg ,sulfamethoxazole/trimethoprim,05010800/05040800,80mg+400mg
16006,RISPERDAL QUICKLET orodispersible tablet 2mg [JANSSEN],risperidone,4020100,2mg
16103,olanzapine orodispersible tablet 20mg ,olanzapine,4020100,20mg
16223,ROXIAM capsules 300mg [ASTRAZENEC],remoxipride hydrochloride monohydrate,4020100,300mg
16323,perphenazine with amitriptyline tablets 2mg + 10mg ,amitriptyline hydrochloride/perphenazine,04020100/04030100,2mg + 10mg
16407,ZYPREXA VELOTAB orodispersible tablet 15mg [LILLY],olanzapine,4020100,15mg
16425,risperidone powder for suspension for injection 37.5mg ,risperidone,04020100/04020200,37.5mg
16434,risperidone powder for suspension for injection 25mg ,risperidone,04020100/04020200,25mg
16489,risperidone powder for suspension for injection 50mg ,risperidone,04020100/04020200,50mg
16561,aripiprazole tablets 30mg ,aripiprazole,4020100,30mg
16575,aripiprazole oral solution 1mg/ml ,aripiprazole,4020100,1mg/ml
16609,sodium valproate powder for solution for injection 400mg ,sodium valproate,4080100,400mg
16620,co-trimoxazole concentrate for solution for infusion 80mg + 400mg/5ml ,sulfamethoxazole/trimethoprim,05010800/05040800,80mg + 400mg/5ml
16746,VANCOCIN capsules 125mg [LILLY],vancomycin hydrochloride,5010703,125mg
16768,SOLIAN tablets 50mg [SANOFI S],amisulpride,4020100,50mg
16908,RISPERDAL CONSTA powder for suspension for injection 25mg [JANSSEN],risperidone,04020100/04020200,25mg
16973,STRIANT SR modified release buccal tablets 30mg [ARDANA BIO],testosterone,6040200,30mg
16986,RISPERDAL QUICKLET orodispersible tablet 1mg [JANSSEN],risperidone,4020100,1mg
16998,sertindole tablets 12mg ,sertindole,4020100,12mg
17015,vancomycin powder for concentrate for solution for infusion 500mg/vial ,vancomycin hydrochloride,5010703,500mg/vial
17031,zinc acetate capsules 25mg ,zinc acetate,9080101,25mg
17050,sertindole tablets 20mg ,sertindole,4020100,20mg
17087,perphenazine injection 5mg/ml ,perphenazine,04020100/04060000,5mg/ml
17116,vancomycin powder for concentrate for solution for infusion 1g/vial ,vancomycin hydrochloride,5010703,1g/vial
17152,ORLEPT tablets 200mg [WOCKHARDT],sodium valproate,4080100,200mg
17190,fluphenazine enanthate injection 25mg/ml ,fluphenazine enantate,4020200,25mg/ml
17227,CHLORACTIL tablets 25mg [DDSA],chlorpromazine hydrochloride,04020100/04060000,25mg
17379,haloperidol sugar free solution 1.5mg/5ml ,haloperidol,04020100/04060000/04090300,1.5mg/5ml
17399,thioridazine syrup 50mg/5ml ,thioridazine hydrochloride,4020100,50mg/5ml
17504,zotepine tablets 25mg ,zotepine,4020100,25mg
17634,promazine syrup 50mg/5ml ,promazine hydrochloride,4020100,50mg/5ml
17849,VERTIGON SPANSULE 15mg [GLAXSK CON],prochlorperazine maleate,04020100/04060000,15mg
17958,CLOZARIL tablets 25mg [NOVARTIS],clozapine,4020100,25mg
18013,SEROQUEL tablets 100mg [ASTRAZENEC],quetiapine fumarate,4020100,100mg
18023,SEROQUEL starter pack [ASTRAZENEC],quetiapine fumarate,4020100,
18024,ZYPREXA tablets 5mg [LILLY],olanzapine,4020100,5mg
18132,ABILIFY tablets 5mg [BMS],aripiprazole,4020100,5mg
18155,flupentixol decanoate oily injection 50mg/0.5ml ,flupentixol decanoate,4020200,50mg/0.5ml
18175,flupentixol decanoate oily injection 100mg/1ml ,flupentixol decanoate,4020200,100mg/1ml
18181,SULPOR oral solution 200mg/5ml [ROSEMONT],sulpiride,04020100/04090300,200mg/5ml
18197,DEPIXOL -CONC oily injection 50mg/0.5ml [LUNDBECK],flupentixol decanoate,4020200,50mg/0.5ml
18289,STELAZINE concentrate 10mg/ml [GOLDSHIELD],trifluoperazine hydrochloride,04020100/04060000,10mg/ml
18352,SULPITIL tablets 200mg [PHARMACIA],sulpiride,04020100/04090300,200mg
18453,ZYPREXA tablets 2.5mg [LILLY],olanzapine,4020100,2.5mg
18514,lamivudine with zidovudine film coated tablets 150mg + 300mg ,zidovudine/lamivudine,5030101,150mg + 300mg
18668,trifluoperazine concentrate 10mg/ml ,trifluoperazine hydrochloride,04020100/04060000,10mg/ml
18766,yohimbine with pemoline and methyl testosterone capsules 5mg + 10mg + 5mg ,methyltestosterone/pemoline/yohimbine hydrochloride,23010000,5mg + 10mg + 5mg
18773,PROWESS capsules [HARLEYST],methyltestosterone/pemoline/yohimbine hydrochloride,23010000,
18991,oxypertine tablets 40mg ,oxypertine,4020100,40mg
18993,VIRORMONE injection 50mg/ml [FERRING],testosterone propionate,6040200,50mg/ml
19002,LARGACTIL suppository 100mg [RHONE],chlorpromazine,04020100/04060000,100mg
19016,ROXIAM capsules 150mg [ASTRAZENEC],remoxipride hydrochloride monohydrate,4020100,150mg
19283,DEPIXOL oily injection 20mg/1ml [LUNDBECK],flupentixol decanoate,4020200,20mg/1ml
19402,trientine dihydrochloride capsules 300mg ,trientine dihydrochloride,9080101,300mg
19900,sertindole tablets 16mg ,sertindole,4020100,16mg
19976,ZYPREXA tablets 15mg [LILLY],olanzapine,4020100,15mg
20004,EPILIM powder for solution for injection 400mg [SANOFI S],sodium valproate,4080100,400mg
20126,trimethoprim with sulfamethoxazole tablets 160mg+800mg ,sulfamethoxazole/trimethoprim,05010800/05040800,160mg+800mg
20174,LOXAPAC capsules 10mg [WYETH PHAR],loxapine,4020100,10mg
20368,sulfamethoxazole with trimethoprim concentrate for solution for infusion 400mg + 80mg/5ml ,sulfamethoxazole/trimethoprim,05010800/05040800,400mg + 80mg/5ml
20393,MIXOGEN tablets [ORGANON],ethinylestradiol/methyltestosterone,6040101,
20703,MODITEN tablets 5mg [SANOFI S],fluphenazine hydrochloride,4020100,5mg
20920,trimethoprim with sulfamethoxazole oral suspension 80mg + 400mg/5ml ,sulfamethoxazole/trimethoprim,05010800/05040800,80mg + 400mg/5ml
21027,TRIPERIDOL tablets 1mg [LAGAP],trifluperidol,4020100,1mg
21047,TRIPERIDOL tablets 0.5mg [LAGAP],trifluperidol,4020100,0.5mg
21064,NEULACTIL tablets 25mg [JHC HEALTH],pericyazine,4020100,25mg
21125,DROLEPTAN injection 5mg/ml [JANSSEN],droperidol,04020100/15010401,5mg/ml
21195,linezolid tablets 600mg ,linezolid,5010705,600mg
21199,DENZAPINE tablets 100mg [DENFLEET],clozapine,4020100,100mg
21339,VERACTIL tablets 25mg [RHONE],levomepromazine maleate,4020100,25mg
21453,RETROVIR capsules 100mg [GLAXO],zidovudine,5030101,100mg
21640,TRIMOPAN tablets 100mg [BERK],trimethoprim,5010800,100mg
21709,SEROQUEL tablets 300mg [ASTRAZENEC],quetiapine fumarate,4020100,300mg
21744,ANQUIL tablets 250micrograms [CONCORD],benperidol,4020100,250micrograms
21805,TRIPRIMIX 200 tablets [ASHBOURNE],trimethoprim,5010800,
21809,COMIXCO tablets 80mg+400mg [ASHBOURNE],sulfamethoxazole/trimethoprim,05010800/05040800,80mg+400mg
21964,ZYPREXA tablets 7.5mg [LILLY],olanzapine,4020100,7.5mg
22049,CLOPIXOL oily injection 200mg/1ml [LUNDBECK],zuclopenthixol decanoate,04020100/04020200,200mg/1ml
22150,methyltestosterone tablets 10mg ,methyltestosterone,6040200,10mg
22606,chlorpromazine injection 25mg/1ml ,chlorpromazine hydrochloride,04020100/04060000,25mg/1ml
22609,droperidol injection 5mg/ml ,droperidol,04020100/15010401,5mg/ml
22660,HALDOL tablets 5mg [JANSSEN],haloperidol,04020100/04060000/04090300,5mg
22753,COMBIVIR film coated tablets [GLAXO],zidovudine/lamivudine,5030101,
22814,trifluperidol tablets 1mg ,trifluperidol,4020100,1mg
22991,CHEMOTRIM PAEDIATRIC suspension [ROSEMONT],sulfamethoxazole/trimethoprim,05010800/05040800,
23034,remoxipride capsules 75mg ,remoxipride hydrochloride monohydrate,4020100,75mg
23079,testosterone modified release buccal tablets 30mg ,testosterone,6040200,30mg
23085,VIRORMONE oily injection 100mg/2ml [NORDIC],testosterone propionate,6040200,100mg/2ml
23162,SERDOLECT tablets 16mg [LUNDBECK],sertindole,4020100,16mg
23209,methyltestosterone tablets 50mg ,methyltestosterone,6040200,50mg
23407,ZYVOX tablets 600mg [PHARMACIA],linezolid,5010705,600mg
23431,olanzapine powder for solution for injection 10mg/vial ,olanzapine,4020100,10mg/vial
23659,trifluperidol tablets 0.5mg ,trifluperidol,4020100,0.5mg
23678,HALDOL tablets 10mg [JANSSEN],haloperidol,04020100/04060000/04090300,10mg
24048,VANCOCIN capsules 250mg [LILLY],vancomycin hydrochloride,5010703,250mg
24053,SULPAREX tablets 200mg [SQUIBB],sulpiride,04020100/04090300,200mg
24069,DOLMATIL tablets 400mg [SANOFI S],sulpiride,04020100/04090300,400mg
24153,ORLEPT sugar free liquid 200mg/5ml [WOCKHARDT],sodium valproate,4080100,200mg/5ml
24270,zuclopenthixol acetate oily injection 50mg/1ml ,zuclopenthixol acetate,04020100/04020200,50mg/1ml
24324,TRIMOGAL tablets 200mg [LAGAP],trimethoprim,5010800,200mg
24358,ABILIFY tablets 10mg [BMS],aripiprazole,4020100,10mg
24494,HALDOL oral liquid concentrate 10mg/ml [JANSSEN],haloperidol,04020100/04060000/04090300,10mg/ml
24547,abacavir with zidovudine and lamivudine tablets 300mg + 300mg + 150mg ,zidovudine/lamivudine/abacavir sulfate,5030101,300mg + 300mg + 150mg
24656,methyltestosterone tablets 25mg ,methyltestosterone,6040200,25mg
24890,trifluoperazine with tranylcypromine tablets 1mg + 10mg ,trifluoperazine hydrochloride/tranylcypromine sulphate,04020100/04030200,1mg + 10mg
25336,zotepine tablets 50mg ,zotepine,4020100,50mg
25451,REBETOL capsules 200mg [SCHERING-P],ribavirin,5030300,200mg
25497,SYRAPRIM tablets 100mg [WELLCOME],trimethoprim,5010800,100mg
25653,CHLORACTIL tablets 50mg [DDSA],chlorpromazine hydrochloride,04020100/04060000,50mg
25709,ribavirin capsules 200mg ,ribavirin,5030300,200mg
25724,ribavirin tablets 200mg ,ribavirin,5030300,200mg
25761,RETROVIR capsules 250mg [GLAXO],zidovudine,5030101,250mg
25835,MODITEN ENANTHATE injection 25mg/ml [SANOFI S],fluphenazine enantate,4020200,25mg/ml
25908,sulfamethoxazole with trimethoprim tablets 800mg + 160mg ,sulfamethoxazole/trimethoprim,05010800/05040800,800mg + 160mg
25909,perphenazine sugar free syrup 4mg/5ml ,perphenazine,04020100/04060000/23000000,4mg/5ml
25926,methyltestosterone tablets 5mg ,methyltestosterone,6040200,5mg
25966,SERDOLECT tablets 4mg [LUNDBECK],sertindole,4020100,4mg
26050,anagrelide capsules 500 micrograms ,anagrelide hydrochloride,9010400,500 micrograms
26173,zidovudine tablets 300mg ,zidovudine,5030101,300mg
26317,dapsone with pyrimethamine tablets 100mg + 12.5mg ,dapsone/pyrimethamine,5040100,100mg + 12.5mg
26544,SOLIAN tablets 100mg [SANOFI S],amisulpride,4020100,100mg
26800,LOXAPAC capsules 50mg [WYETH PHAR],loxapine,4020100,50mg
26855,zinc acetate capsules 50mg ,zinc acetate,9080101,50mg
27048,SYRAPRIM tablets 300mg [WELLCOME],trimethoprim,5010800,300mg
27148,ORAP tablets 10mg [JANSSEN],pimozide,4020100,10mg
27211,INTEGRIN tablets 40mg [SANOFI S],oxypertine,4020100,40mg
27255,TRIMETHOPRIM tablets 200mg [HILLCROSS],trimethoprim,5010800,200mg
27405,VANCOCIN MATRIGEL capsules 125mg [FLYNN],vancomycin hydrochloride,5010703,125mg
27418,trimethoprim with sulfamethoxazole oral suspension 40mg + 200mg/5ml ,sulfamethoxazole/trimethoprim,05010800/05040800,40mg + 200mg/5ml
27445,trimethoprim with sulfamethoxazole concentrate for solution for infusion 160mg + 800mg/10ml ,sulfamethoxazole/trimethoprim,05010800/05040800,160mg + 800mg/10ml
27921,LARATRIM FORTE tablets [LAGAP],sulfamethoxazole/trimethoprim,05010800/05040800,
27994,VANCOCIN powder for concentrate for solution for infusion 500mg/vial [LILLY],vancomycin hydrochloride,5010703,500mg/vial
28004,co-trimoxazole paediatric tablets 20mg+100mg ,sulfamethoxazole/trimethoprim,05010800/05040800,20mg+100mg
28147,TARACTAN tablets 15mg [ROCHE],chlorprothixene,4020100,15mg
28231,LEVINAN tablets 6mg [LINK],levomepromazine maleate,04020100/23000000,6mg
28355,zuclopenthixol decanoate oily injection 200mg/1ml ,zuclopenthixol decanoate,04020100/04020200,200mg/1ml
28679,DOZIC sugar free liquid 2mg/ml [ROSEMONT],haloperidol,04020100/04060000/04090300,2mg/ml
28759,zotepine tablets 100mg ,zotepine,4020100,100mg
28862,CHLORACTIL tablets 100mg [DDSA],chlorpromazine hydrochloride,04020100/04060000,100mg
28942,deferiprone tablets 500mg ,deferiprone,9010300,500mg
28968,SERENACE injection 10mg/ml [IVAX],haloperidol,04020100/04060000,10mg/ml
29238,RETROVIR sugar free oral solution 50mg/5ml [GLAXO],zidovudine,5030101,50mg/5ml
29260,RETROVIR tablets 300mg [GLAXO],zidovudine,5030101,300mg
29295,linezolid oral suspension 100mg/5ml ,linezolid,5010705,100mg/5ml
29351,TRIMETHOPRIM suspension 50mg/5ml [TEVA],trimethoprim,5010800,50mg/5ml
29532,TRIMOGAL tablets 100mg [LAGAP],trimethoprim,5010800,100mg
29540,olanzapine tablets 20mg ,olanzapine,4020100,20mg
29541,linezolid infusion 600mg ,linezolid,5010705,600mg
29782,FERRIPROX tablets 500mg [SWED ORPH],deferiprone,9010300,500mg
29879,ABILIFY tablets 30mg [BMS],aripiprazole,4020100,30mg
29907,COMOX tablets [IVAX],sulfamethoxazole/trimethoprim,05010800/05040800,
29948,STELAZINE FORTE oral solution 1mg/ml [GOLDSHIELD],trifluoperazine hydrochloride,04020100/04060000,1mg/ml
30081,SODIUM VALPROATE CR tablets 500mg [HILLCROSS],sodium valproate,4080100,500mg
30088,ZOLEPTIL tablets 25mg [ORION],zotepine,4020100,25mg
30111,chlorprothixene tablets 50mg ,chlorprothixene,4020100,50mg
30201,CO-TRIMOXAZOLE paediatric mixture 240mg/5ml [LAGAP],sulfamethoxazole/trimethoprim,05010800/05040800,240mg/5ml
30487,DENZAPINE tablets 25mg [DENFLEET],clozapine,4020100,25mg
30614,sulfamethoxazole with trimethoprim oral suspension 200mg + 40mg/5ml ,sulfamethoxazole/trimethoprim,05010800/05040800,200mg + 40mg/5ml
30793,XAGRID capsules 500 micrograms [SHIRE],anagrelide hydrochloride,9010400,500 micrograms
31063,SERDOLECT tablets 12mg [LUNDBECK],sertindole,4020100,12mg
31098,aripiprazole orodispersible tablet 15mg ,aripiprazole,4020100,15mg
31171,CHLORPROMAZINE tablets 50mg [HILLCROSS],chlorpromazine hydrochloride,04020100/04060000,50mg
31172,CHLORPROMAZINE tablets 50mg [TEVA],chlorpromazine hydrochloride,04020100/04060000,50mg
31175,CHLORPROMAZINE tablets 25mg [HILLCROSS],chlorpromazine hydrochloride,04020100/04060000,25mg
31184,CHLORPROMAZINE tablets 25mg [IVAX],chlorpromazine hydrochloride,04020100/04060000,25mg
31227,TRIMETHOPRIM tablets 200mg [REGENT],trimethoprim,5010800,200mg
31463,co-trimoxazole concentrate for solution for infusion 160mg + 800mg/10ml ,sulfamethoxazole/trimethoprim,05010800/05040800,160mg + 800mg/10ml
31477,LARATRIM PAEDIATRIC suspension [LAGAP],sulfamethoxazole/trimethoprim,05010800/05040800,
31484,LARATRIM ADULT suspension 480mg/5ml [LAGAP],sulfamethoxazole/trimethoprim,05010800/05040800,480mg/5ml
31537,zuclopenthixol acetate oily injection 100mg/2ml ,zuclopenthixol acetate,04020100/04020200,100mg/2ml
31538,CLOPIXOL ACUPHASE oily injection 100mg/2ml [LUNDBECK],zuclopenthixol acetate,04020100/04020200,100mg/2ml
31576,SOLIAN solution 100mg/ml [SANOFI S],amisulpride,4020100,100mg/ml
31678,zidovudine capsules 100mg ,zidovudine,5030101,100mg
31693,VANCOCIN powder for concentrate for solution for infusion 500mg/vial [FLYNN],vancomycin hydrochloride,5010703,500mg/vial
31796,BENQUIL tablets 250micrograms [HANSAM],benperidol,4020100,250micrograms
31905,trimethoprim with sulfamethoxazole concentrate for solution for infusion 80mg + 400mg/5ml ,sulfamethoxazole/trimethoprim,05010800/05040800,80mg + 400mg/5ml
32051,HALOPERIDOL tablets 5mg [GEN (UK)],haloperidol,04020100/04060000/04090300,5mg
32064,PROCHLORPERAZINE tablets 5mg [ACTAVIS],prochlorperazine maleate,04020100/04060000,5mg
32076,aripiprazole orodispersible tablet 10mg ,aripiprazole,4020100,10mg
32122,PROCHLORPERAZINE injection 12.5mg/1ml [ANTIGEN],prochlorperazine mesilate,04020100/04060000,12.5mg/1ml
32308,COPEGUS tablets 200mg [ROCHE],ribavirin,5030300,200mg
32360,VANCOMYCIN powder for solution for infusion 1g [DUMEX],vancomycin hydrochloride,5010703,1g
32551,PROCHLORPERAZINE tablets 5mg [IVAX],prochlorperazine maleate,04020100/04060000,5mg
32772,PROCHLORPERAZINE tablets 5mg [GEN (UK)],prochlorperazine maleate,04020100/04060000,5mg
32838,HALOPERIDOL tablets 1.5mg [IVAX],haloperidol,04020100/04060000/04090300,1.5mg
32876,PROCHLORPERAZINE tablets 5mg [TEVA],prochlorperazine maleate,04020100/04060000,5mg
32906,TRIMETHOPRIM tablets 100mg [HILLCROSS],trimethoprim,5010800,100mg
32908,TRIMETHOPRIM tablets 200mg [TEVA],trimethoprim,5010800,200mg
33058,EPIVAL CR tablets 500mg [CHANELLE],sodium valproate,4080100,500mg
33106,SODIUM VALPROATE sugar free oral solution 200mg/5ml [IVAX],sodium valproate,4080100,200mg/5ml
33493,SPARINE tablets 100mg [WYETH PHAR],promazine hydrochloride,4020100,100mg
33780,MODECATE injection 25mg/1ml [SANOFI S],fluphenazine decanoate,4020200,25mg/1ml
33794,sulfamethoxazole with trimethoprim oral suspension 400mg + 80mg/5ml ,sulfamethoxazole/trimethoprim,05010800/05040800,400mg + 80mg/5ml
33883,ZYPREXA VELOTAB orodispersible tablet 20mg [LILLY],olanzapine,4020100,20mg
33987,sulfamethoxazole with trimethoprim concentrate for solution for infusion 800mg + 160mg/10ml ,sulfamethoxazole/trimethoprim,05010800/05040800,800mg + 160mg/10ml
33997,TRIMETHOPRIM tablets 200mg [IVAX],trimethoprim,5010800,200mg
34032,DAPSONE tablets 100mg [ACTAVIS],dapsone,05011000/05040100/05040800,100mg
34039,HALOPERIDOL oral liquid 1mg/ml [ROSEMONT],haloperidol,04020100/04060000/04090300,1mg/ml
34120,SODIUM VALPROATE tablets 200mg [HILLCROSS],sodium valproate,4080100,200mg
34150,VALPROATE SODIUM tablets 200mg [IVAX],sodium valproate,4080100,200mg
34151,VALPROATE SODIUM tablets 500mg [IVAX],sodium valproate,4080100,500mg
34178,SODIUM VALPROATE tablets 500mg [HILLCROSS],sodium valproate,4080100,500mg
34193,VANCOMYCIN capsules 250mg [DUMEX],vancomycin hydrochloride,5010703,250mg
34194,VANCOMYCIN capsules 125mg [DUMEX],vancomycin hydrochloride,5010703,125mg
34252,TRIMETHOPRIM suspension 50mg/5ml [HILLCROSS],trimethoprim,5010800,50mg/5ml
34272,HALOPERIDOL injection 5mg/ml [ANTIGEN],haloperidol,04020100/04060000,5mg/ml
34339,HALOPERIDOL tablets 1.5mg [HILLCROSS],haloperidol,04020100/04060000/04090300,1.5mg
34344,PROCHLORPERAZINE MALEATE tablets 5mg [HILLCROSS],prochlorperazine maleate,04020100/04060000,5mg
34379,TRIMETHOPRIM tablets 200mg [KENT],trimethoprim,5010800,200mg
34392,TRIMETHOPRIM tablets 200mg [ACTAVIS],trimethoprim,5010800,200mg
34414,SODIUM VALPROATE tablets 200mg [STERWIN],sodium valproate,4080100,200mg
34455,TRIMETHOPRIM tablets 200mg [CP PHARM],trimethoprim,5010800,200mg
34488,TRIMETHOPRIM tablets 100mg [KENT],trimethoprim,5010800,100mg
34542,TRIMETHOPRIM tablets 100mg [TEVA],trimethoprim,5010800,100mg
34626,SODIUM VALPROATE tablets 200mg [GEN (UK)],sodium valproate,4080100,200mg
34630,CHLORPROMAZINE tablets 50mg [GENUS],chlorpromazine hydrochloride,04020100/04060000,50mg
34632,SODIUM VALPROATE tablets 200mg [TEVA],sodium valproate,4080100,200mg
34633,TRIMETHOPRIM tablets 200mg [SANDOZ],trimethoprim,5010800,200mg
34668,CHLORPROMAZINE tablets 25mg [TEVA],chlorpromazine hydrochloride,04020100/04060000,25mg
34693,CHLORPROMAZINE tablets 25mg [GENUS],chlorpromazine hydrochloride,04020100/04060000,25mg
34707,SODIUM VALPROATE tablets 200mg [IVAX],sodium valproate,4080100,200mg
34727,CO-TRIMOXAZOLE tablets 80mg+400mg [ACTAVIS],sulfamethoxazole/trimethoprim,05010800/05040800,80mg+400mg
34736,CHLORPROMAZINE tablets 100mg [TEVA],chlorpromazine hydrochloride,04020100/04060000,100mg
34805,VANCOMYCIN capsules 125mg [ACTAVIS],vancomycin hydrochloride,5010703,125mg
34810,SULPIRIDE tablets 200mg [WOCKHARDT],sulpiride,04020100/04090300,200mg
34878,TRIMETHOPRIM tablets 100mg [CP PHARM],trimethoprim,5010800,100mg
34883,SODIUM VALPROATE sugar free liquid 200mg/5ml [HILLCROSS],sodium valproate,4080100,200mg/5ml
34902,THIORIDAZINE tablets 50mg [HILLCROSS],thioridazine hydrochloride,4020100,50mg
34903,HALOPERIDOL tablets 5mg [IVAX],haloperidol,04020100/04060000/04090300,5mg
34905,THIORIDAZINE tablets 25mg [IVAX],thioridazine hydrochloride,4020100,25mg
34927,AMISULPRIDE tablets 200mg [WINTHROP],amisulpride,4020100,200mg
35024,sodium valproate modified release capsules 300mg ,sodium valproate,4080100,300mg
35065,fluphenazine decanoate oily injection 25mg/1ml ,fluphenazine decanoate,4020200,25mg/1ml
35122,MODECATE injection 12.5mg/0.5ml [SANOFI S],fluphenazine decanoate,4020200,12.5mg/0.5ml
35141,risperidone orodispersible tablet 3mg ,risperidone,4020100,3mg
35176,fluphenazine decanoate oily injection 100mg/1ml ,fluphenazine decanoate,4020200,100mg/1ml
35235,PIPORTIL depot injection 50mg/1ml [SANOFI/AVE],pipotiazine palmitate,4020200,50mg/1ml
35391,fluphenazine decanoate oily injection 50mg/0.5ml ,fluphenazine decanoate,4020200,50mg/0.5ml
35445,MODECATE injection 50mg/2ml [SANOFI S],fluphenazine decanoate,4020200,50mg/2ml
35455,MODECATE CONCENTRATE injection 100mg/1ml [SANOFI S],fluphenazine decanoate,4020200,100mg/1ml
35471,sodium valproate modified release capsules 150mg ,sodium valproate,4080100,150mg
35487,MODECATE CONCENTRATE injection 50mg/0.5ml [SANOFI S],fluphenazine decanoate,4020200,50mg/0.5ml
35488,PIPORTIL depot injection 100mg/2ml [SANOFI/AVE],pipotiazine palmitate,4020200,100mg/2ml
35530,fluphenazine decanoate oily injection 12.5mg/0.5ml ,fluphenazine decanoate,4020200,12.5mg/0.5ml
35548,RISPERDAL QUICKLET orodispersible tablet 3mg [JANSSEN],risperidone,4020100,3mg
35589,risperidone orodispersible tablet 4mg ,risperidone,4020100,4mg
35684,pipotiazine palmitate depot injection 50mg/1ml ,pipotiazine palmitate,4020200,50mg/1ml
35723,fluphenazine decanoate oily injection 50mg/2ml ,fluphenazine decanoate,4020200,50mg/2ml
35747,EPISENTA prolonged release capsules 300mg [BEACON],sodium valproate,4080100,300mg
35755,sodium valproate modified release granules 500mg ,sodium valproate,4080100,500mg
35787,THIORIDAZINE tablets 50mg [IVAX],thioridazine hydrochloride,4020100,50mg
35929,chlorpromazine injection 50mg/2ml ,chlorpromazine hydrochloride,04020100/04060000,50mg/2ml
