phenotype,CPRD,ICD,OPCS,name_portal,implementation,group,is_cancer,is_adult,file_stem,primary_care,secondary_care,death,case_note_review,ehr_sources,prognosis,genetic,cross_country,publications,type,id,primary_care,secondary_care,type,data_sources,clinical_terminologies,validation,valid_event_data_range,sex,date,modified_date,version,authors
Aspiration Pneumonitis,_data/primary_care/CPRD_aspiration_pneumo.csv,_data/secondary_care/ICD_aspiration_pneumo.csv,,Aspiration pneumonitis,"At the specified date, a patient is defined as having had 'Aspiration pneumonitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Aspiration pneumonitis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Aspiration pneumonitis' or history of diagnosis during a hospitalization",Respiratory,0,1,aspiration_pneumo,['_data/primary_care/CPRD_aspiration_pneumo.csv'],['_data/secondary_care/ICD_aspiration_pneumo.csv'],,,,,,,,Disease or Syndrome,PHE00022,['_data/primary_care/CPRD_aspiration_pneumo.csv'],['_data/secondary_care/ICD_aspiration_pneumo.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Asthma,_data/primary_care/CPRD_asthma.csv,_data/secondary_care/ICD_asthma.csv,,Asthma,"At the specified date, a patient is defined as having had 'Asthma' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Asthma' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Asthma' or history of diagnosis during a hospitalization",Respiratory,0,1,asthma,['_data/primary_care/CPRD_asthma.csv'],['_data/secondary_care/ICD_asthma.csv'],,,,,,,,Disease or Syndrome,PHE00023,['_data/primary_care/CPRD_asthma.csv'],['_data/secondary_care/ICD_asthma.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Atrial Fibrillation,_data/primary_care/CPRD_AF.csv,_data/secondary_care/ICD_AF.csv,,Atrial fibrillation,"Use MODIFIED CALIBER 'Atrial fibrillation' phenotyping algorithm: 

At the specified date, a patient is considered to have had 'Atrial fibrillation' or flutter IF they meet any of the criteria below on or before the specified date. 

The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:
1.	1.	Historical & Diagnosed: first recorded AF code indicates monitoring of an existing condition, or reference to a previous AF diagnosis, or a diagnosis code for AF; preference given to the earliest dated record rather than diagnosis source (i.e. no preference for primary versus secondary care).
    1.	af_gprd: category 1, 2, 3, 4, 5, 6, 7
    2.	af_hes: category 6",Cardiovascular,0,1,AF,['_data/primary_care/CPRD_AF.csv'],['_data/secondary_care/ICD_AF.csv'],,,,,,,,Disease or Syndrome,PHE00024,['_data/primary_care/CPRD_AF.csv'],['_data/secondary_care/ICD_AF.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
"Atrioventricular Block, Third Degree",_data/primary_care/CPRD_av_block_3.csv,_data/secondary_care/ICD_av_block_3.csv,,"Atrioventricular block, third degree","At the specified date, a patient is defined as having had Atrioventricular third degree, complete IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Atrioventricular block, complete diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of Atrioventricular block, complete or history of diagnosis during a hospitalization",Cardiovascular,0,1,av_block_3,['_data/primary_care/CPRD_av_block_3.csv'],['_data/secondary_care/ICD_av_block_3.csv'],,,,,,,,Disease or Syndrome,PHE00025,['_data/primary_care/CPRD_av_block_3.csv'],['_data/secondary_care/ICD_av_block_3.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
"Atrioventricular Block, First Degree",_data/primary_care/CPRD_av_block_1.csv,_data/secondary_care/ICD_av_block_1.csv,,"Atrioventricular block, first degree","At the specified date, a patient is defined as having had 'Atrioventricular block, first degree' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Atrioventricular block, first degree' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Atrioventricular block, first degree' or history of diagnosis during a hospitalization",Cardiovascular,0,1,av_block_1,['_data/primary_care/CPRD_av_block_1.csv'],['_data/secondary_care/ICD_av_block_1.csv'],,,,,,,,Disease or Syndrome,PHE00026,['_data/primary_care/CPRD_av_block_1.csv'],['_data/secondary_care/ICD_av_block_1.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
"Atrioventricular Block, Second Degree",_data/primary_care/CPRD_av_block_2.csv,_data/secondary_care/ICD_av_block_2.csv,,"Atrioventricular block, second degree","At the specified date, a patient is defined as having had 'Atrioventricular block, second degree' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Atrioventricular block, second degree' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Atrioventricular block, second degree' or history of diagnosis during a hospitalization",Cardiovascular,0,1,av_block_2,['_data/primary_care/CPRD_av_block_2.csv'],['_data/secondary_care/ICD_av_block_2.csv'],,,,,,,,Disease or Syndrome,PHE00027,['_data/primary_care/CPRD_av_block_2.csv'],['_data/secondary_care/ICD_av_block_2.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Autism,_data/primary_care/CPRD_autism.csv,_data/secondary_care/ICD_autism.csv,,Autism,"At the specified date, a patient is defined as having had 'Autism and Asperger's syndrome' and Asperger's syndrome IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Autism and Asperger's syndrome' and Asperger's syndrome diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Autism and Asperger's syndrome' and Asperger's syndrome or history of diagnosis during a hospitalization",Psychiatric,0,1,autism,['_data/primary_care/CPRD_autism.csv'],['_data/secondary_care/ICD_autism.csv'],,,,,,,,Disease or Syndrome,PHE00028,['_data/primary_care/CPRD_autism.csv'],['_data/secondary_care/ICD_autism.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Autoimmune Liver Disease,_data/primary_care/CPRD_autoimm_liver.csv,_data/secondary_care/ICD_autoimm_liver.csv,,Autoimmune liver disease,"At the specified date, a patient is defined as having had 'Autoimmune liver disease' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Autoimmune liver disease' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Autoimmune liver disease' or history of diagnosis during a hospitalization",Digestive,0,1,autoimm_liver,['_data/primary_care/CPRD_autoimm_liver.csv'],['_data/secondary_care/ICD_autoimm_liver.csv'],,,,,,,,Disease or Syndrome,PHE00029,['_data/primary_care/CPRD_autoimm_liver.csv'],['_data/secondary_care/ICD_autoimm_liver.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Bacterial Infections,,_data/secondary_care/ICD_bacterial.csv,,Bacterial infections,"At the specified date, a patient is defined as having had 'Bacterial Diseases (excl TB)' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of Bacterial Diseases (excl TB) or history of diagnosis during a hospitalization",Infections,0,1,bacterial,[],['_data/secondary_care/ICD_bacterial.csv'],,,,,,,,Disease or Syndrome,PHE00030,[],['_data/secondary_care/ICD_bacterial.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Sepsis Of The Newborn,_data/primary_care/CPRD_sepsis_newborn.csv,_data/secondary_care/ICD_sepsis_newborn.csv,,Sepsis of the Newborn,"At the specified date, a patient is defined as having had Bacterial sepsis of newborn IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Bacterial sepsis of newborn diagnosis or history of diagnosis during a consultation AND IF the patient is aged < 1y at the first event date
OR
Secondary care
1. ALL diagnoses of  Bacterial sepsis of newborn or history of diagnosis during a hospitalization AND IF the patient is aged < 1y at the first event date",Perinatal ,0,0,sepsis_newborn,['_data/primary_care/CPRD_sepsis_newborn.csv'],['_data/secondary_care/ICD_sepsis_newborn.csv'],,,,,,,,Disease or Syndrome,PHE00031,['_data/primary_care/CPRD_sepsis_newborn.csv'],['_data/secondary_care/ICD_sepsis_newborn.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Barrett's Oesophagus,_data/primary_care/CPRD_barretts.csv,_data/secondary_care/ICD_barretts.csv,,Barrett's Oesophagus,"At the specified date, a patient is defined as having had 'Barrett's oesophagus' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Barrett's oesophagus' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Barrett's oesophagus' or history of diagnosis during a hospitalization",Digestive,0,1,barretts,['_data/primary_care/CPRD_barretts.csv'],['_data/secondary_care/ICD_barretts.csv'],,,,,,,,Disease or Syndrome,PHE00032,['_data/primary_care/CPRD_barretts.csv'],['_data/secondary_care/ICD_barretts.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Bell's Palsy,_data/primary_care/CPRD_bells.csv,_data/secondary_care/ICD_bells.csv,,Bell's palsy,"At the specified date, a patient is defined as having had 'Bell's palsy' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Bell's palsy' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Bell's palsy' or history of diagnosis during a hospitalization",Neurological,0,1,bells,['_data/primary_care/CPRD_bells.csv'],['_data/secondary_care/ICD_bells.csv'],,,,,,,,Disease or Syndrome,PHE00033,['_data/primary_care/CPRD_bells.csv'],['_data/secondary_care/ICD_bells.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Benign Neoplasm - Uterus,_data/primary_care/CPRD_benign_uterus.csv,_data/secondary_care/ICD_benign_uterus.csv,,Benign Neoplasm - uterus,"At the specified date, a patient is defined as having had Benign neoplasm and polyp of uterus IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Benign neoplasm and polyp of uterus diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Benign neoplasm and polyp of uterus or history of diagnosis during a hospitalization",Benign neoplasm or CIN,0,1,benign_uterus,['_data/primary_care/CPRD_benign_uterus.csv'],['_data/secondary_care/ICD_benign_uterus.csv'],,,,,,,,Disease or Syndrome,PHE00034,['_data/primary_care/CPRD_benign_uterus.csv'],['_data/secondary_care/ICD_benign_uterus.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
